fname,label
001e64cdd9984e165d34.wav,Oboe
001e949afb7a313b4cfe.wav,Violin_or_fiddle
005e20afb8ba6b054afb.wav,Clarinet
007c5f37ab13c09bed62.wav,Harmonica
008736a59a001197a5d2.wav,Burping_or_eructation
00879346de5cbc027e21.wav,Burping_or_eructation
0089068862114f97f6ab.wav,Tambourine
008d6b94b390bbe4841b.wav,Fireworks
010c505b213a88610c5b.wav,Hi-hat
011c76d88df22372bb30.wav,Snare_drum
012e93a3dda0d68753fc.wav,Flute
013415d0f64b191ac89c.wav,Flute
013a2388b87638452c2c.wav,Laughter
013cd0ea66b16ce7c13b.wav,Cough
014ab2afdf1fd15bb17d.wav,Fireworks
015ee13ed41cc6d11c91.wav,Cello
0161c4442e551cc0b395.wav,Hi-hat
0197ab66c9fd64683900.wav,Tearing
01b366f70ee8eec9e550.wav,Acoustic_guitar
01ba6aaa23a9430e31fe.wav,Bass_drum
01bd17e0511e9c0299b5.wav,Snare_drum
01c89a2b7fbe52f1ab84.wav,Cowbell
01ca9e8b7babb1b16bfd.wav,Shatter
01d5b0afb9d8b8fafb75.wav,Double_bass
01db6993c0b6c0e8c9cf.wav,Tearing
01f3004a09c348395fa1.wav,Burping_or_eructation
02114a80781f74d8c8fb.wav,Meow
022935321eb98fe208eb.wav,Trumpet
02358579a10bf09dfd3b.wav,Double_bass
02389b6b762e32fcb477.wav,Burping_or_eructation
025e257f4d45a8447c4b.wav,Bus
02717831d95054cf81a7.wav,Shatter
029a816c1aaea0aadff3.wav,Double_bass
02ac71c1889b54b85da6.wav,Tearing
02bcba6144984d73208e.wav,Flute
02f7e5d37570608d0f68.wav,Snare_drum
0305ef955d4a674da411.wav,Chime
030e1a5b072673f8578a.wav,Knock
0311c141b3096c147120.wav,Snare_drum
0320b667c81c4b499f0b.wav,Violin_or_fiddle
033337edb2232e4d0a23.wav,Squeak
033474364a4d3d0d7379.wav,Cowbell
033c1ade219c820823b7.wav,Applause
0343ad988ecca34e9c4d.wav,Glockenspiel
03443bae40c761e9a297.wav,Squeak
03574035a12348330196.wav,Burping_or_eructation
036c47f292b4fab30cf2.wav,Writing
037bcee94db5d3f7a1d9.wav,Acoustic_guitar
0386d4d0301b48cc3f53.wav,Tearing
038f3c1d263b167bf87d.wav,Tearing
0396dfdbfbfb0c4b7f4b.wav,Cough
03998c04112db237e2aa.wav,Oboe
03a1af780138175e4e9c.wav,Glockenspiel
03b17600e46239061492.wav,Fireworks
03bf2424361b8c18d263.wav,Hi-hat
03e23ff453e196e7f99c.wav,Drawer_open_or_close
03e336a6ac70c02923ab.wav,Trumpet
03ff256d58f9a938dd89.wav,Violin_or_fiddle
040e803f96079f992b87.wav,Writing
0413626033ac53c5c637.wav,Cowbell
0424152b08b73935a361.wav,Applause
0426ec7720a26e6edcf2.wav,Scissors
0429b1435d70363fe9fb.wav,Electric_piano
04454286f29770c1f9a1.wav,Keys_jangling
044ed304b332ac08ab41.wav,Bark
045fed779c327dc0532e.wav,Snare_drum
0475a6cabf75059fdb5a.wav,Gunshot_or_gunfire
04813339d37430faa1d5.wav,Burping_or_eructation
049b4d9c1eaf61700799.wav,Squeak
04a34aebab8abb7fd9ab.wav,Fart
04cf60c75a8aaceb98b1.wav,Bus
04d05be6863e5cfcb5ff.wav,Acoustic_guitar
04e9d52aab7cde61be99.wav,Clarinet
050d6330ea92450c2c97.wav,Cough
051202cc834512cbe171.wav,Electric_piano
05145f4854afb46a170d.wav,Shatter
052041698610d3de5c0c.wav,Knock
0522f7dc86287807f889.wav,Tambourine
052e1cbeb4391d6af234.wav,Acoustic_guitar
0542e13c3d4bfd49e70c.wav,Saxophone
05452d798438bdf3b69b.wav,Trumpet
05456f01bc33d57888c5.wav,Bass_drum
0568ef2034070885913d.wav,Oboe
058a74aad35e3e4eec1c.wav,Applause
059d9b2d2d6492c4f0c1.wav,Applause
05aeecccb88382f1422f.wav,Squeak
05b59f9072cf5fcf81de.wav,Cowbell
05cd07bf4955c59f74de.wav,Applause
0622adf54c676a0e1709.wav,Cello
0635bf2ea37b334ee413.wav,Shatter
063ed03b68ba43464370.wav,Fireworks
066676a707e6183a250f.wav,Fart
067b65e56e947146106c.wav,Clarinet
069fa57d29d21ea18652.wav,Knock
06be16684eee1bf3d68c.wav,Flute
06c4e9ddb1cdec6de84c.wav,Fireworks
06df8594ffb5f3ddf8ef.wav,Oboe
06e1e902002d4b78091b.wav,Shatter
06e789b827765c63f4c7.wav,Laughter
0707f124755c06b4dd19.wav,Bark
072b43f4cb982f6d6994.wav,Writing
073003d964acfa3f78aa.wav,Oboe
073c1fbae19113381358.wav,Double_bass
073fa994274b6520f4dd.wav,Gong
